date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:07	121/121	---MCZ	200	added ('OK')	text/plain	date:Tue,%2005%20Mar%202024%2018:08:07%20GMT	https://savosec.fi/robots.txt		(from )
20:08:07	52316/52316	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Mar%202024%2018:08:07%20GMT	https://savosec.fi/	C:/My%20Web%20Sites/Savosec/savosec.fi/index.html	(from )
20:08:07	112073/112073	---M-Z	200	added ('OK')	application/javascript	etag:%22415c680ea6ada1:0%22	https://consent.cookiebot.com/uc.js	C:/My%20Web%20Sites/Savosec/consent.cookiebot.com/uc.js	(from https://savosec.fi/)
20:08:07	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2005%20Mar%202024%2018:08:08%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Savosec/www.googletagmanager.com/gtm.15445.delayed	(from https://savosec.fi/)
20:08:08	83419/83419	---MCZ	200	added ('OK')	text/css	etag:W/%22624f3972-145db%22	https://savosec.fi/wp-includes/css/dist/block-library/style.min.css?ver=5.9.9	C:/My%20Web%20Sites/Savosec/savosec.fi/wp-includes/css/dist/block-library/style.min4dc9.css	(from https://savosec.fi/)
20:08:08	20368/20368	---MCZ	200	added ('OK')	text/css	etag:W/%226290f7bf-4f90%22	https://savosec.fi/wp-content/plugins/oxygen/component-framework/oxygen.css?ver=4.0	C:/My%20Web%20Sites/Savosec/savosec.fi/wp-content/plugins/oxygen/component-framework/oxygenf9b8.css	(from https://savosec.fi/)
20:08:08	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%22622a9d1b-15db1%22	https://savosec.fi/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/Savosec/savosec.fi/wp-includes/js/jquery/jquery.minaf6c.js	(from https://savosec.fi/)
20:08:08	6505/6505	---MC-	200	added ('OK')	application/json	date:Tue,%2005%20Mar%202024%2018:08:09%20GMT	https://savosec.fi/wp-json/wp/v2/pages/12	C:/My%20Web%20Sites/Savosec/savosec.fi/wp-json/wp/v2/pages/12.json	(from https://savosec.fi/)
20:08:09	775/775	---MCZ	200	added ('OK')	text/xml	date:Tue,%2005%20Mar%202024%2018:08:09%20GMT	https://savosec.fi/xmlrpc.php?rsd	C:/My%20Web%20Sites/Savosec/savosec.fi/xmlrpc0db0.php	(from https://savosec.fi/)
20:08:09	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%22622a9d1b-415%22	https://savosec.fi/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Savosec/savosec.fi/wp-includes/wlwmanifest.xml	(from https://savosec.fi/)
